iter	Passed	Remaining
0	0	71
1	1	60
2	1	56
3	2	51
4	2	51
5	3	51
6	3	51
7	4	51
8	5	51
9	5	51
10	6	51
11	6	50
12	7	49
13	7	48
14	8	47
15	9	51
16	10	50
17	12	54
18	12	54
19	13	54
20	14	54
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	48
27	18	48
28	19	47
29	19	46
30	20	45
31	21	44
32	21	43
33	22	42
34	22	42
35	23	41
36	23	40
37	24	39
38	24	39
39	25	38
40	28	40
41	28	39
42	29	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	33	32
51	34	31
52	34	31
53	35	30
54	35	29
55	36	28
56	37	28
57	38	27
58	39	27
59	40	27
60	44	28
61	46	28
62	48	28
63	48	27
64	49	26
65	50	26
66	54	26
67	55	26
68	63	28
69	64	27
70	65	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	69	20
77	70	19
78	76	20
79	78	19
80	79	18
81	80	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	86	9
90	88	8
91	89	7
92	90	6
93	90	5
94	91	4
95	91	3
96	92	2
97	93	1
98	94	0
99	94	0
